,Seppe
B49F0449_2,300.6274423444462
B49F1552_5,4403.218387392839
B49F1554_1,1975.1305695989065
B49F0449_1,300.6274423444462
B49F0325_4,3562.0801237256787
B49F0450_1,911.5162073722616
B49F0240_4,167.84110722955205
B49F0535_1,2557.6049286299776
B49F1552_2,4403.218387392839
B49F0325_1,3562.0801237256787
B49F1552_3,4403.218387392839
B49F0240_1,167.84110722955205
B49F0240_3,167.84110722955205
B49F0026_1,305.0481808466293
B49F0327_1,3033.693456133218
B49F1552_1,4403.218387392839
B49F0325_3,3562.0801237256787
B49F0325_2,3562.0801237256787
B49F0533_1,2353.639813223234
B49F0240_2,167.84110722955205
B49F0448_1,132.99313546630012
B49F0534_1,2326.5039643295668
B49F0448_2,132.99313546630012
B49F0173_3,913.5010403933853
B49F0029_1,135.96187437571768
B49F0014_1,310.31228669324554
B49F0173_2,913.5010403933853
B49F0173_1,913.5010403933853
B49F0446_1,2942.6333547818354
B49F1582_1,2596.537241835323
B49F0173_4,913.5010403933853
B49F0232_4,1543.0364068263948
B50A0235_2,4153.203493163168
B49F1422_1,2631.987464081447
B50A0235_3,4153.203493163168
B49F0232_5,1543.0364068263948
B49F0017_1,236.38289451497707
B50A0235_1,4153.203493163168
B49F0329_1,3705.370576400537
B49F0330_1,2635.1716655862515
B49F0232_2,1543.0364068263948
B50A0235_4,4153.203493163168
B49F0232_3,1543.0364068263948
B49F0232_1,1543.0364068263948
