oseries,x,y,z
B49F0449_2,97715.96,397240.05,12.32
B49F1552_5,99460.33,393486.37,113.08
B49F1554_1,99256.01,396568.61,13.94
B49F0449_1,97715.96,397240.05,7.32
B49F0325_4,96788.04,393918.8,109.33
B49F0450_1,97419.31,398324.77,9.88
B49F0240_4,97460.96,397582.26,213.2
B49F0535_1,96029.76,395302.08,4.01
B49F1552_2,99460.33,393486.37,34.16
B49F0325_1,96788.04,393918.8,7.26
B49F1552_3,99460.33,393486.37,64.85
B49F0240_1,97460.96,397582.26,6.99
B49F0240_3,97460.96,397582.26,192.98
B49F0026_1,97722.42,397241.56,62.93
B49F0327_1,99614.2,399562.12,14.98
B49F1552_1,99460.33,393486.37,9.16
B49F0325_3,96788.04,393918.8,86.01
B49F0325_2,96788.04,393918.8,42.57
B49F0533_1,95786.45,395771.29,4.53
B49F0240_2,97460.96,397582.26,177.07
B49F0448_1,97340.98,397388.18,7.46
B49F0534_1,96062.82,395563.03,4.2
B49F0448_2,97340.98,397388.18,12.77
B49F0173_3,97418.82,398326.73,90.43
B49F0029_1,97338.04,397387.74,61.4
B49F0014_1,97332.37,397137.26,122.88
B49F0173_2,97418.82,398326.73,38.29
B49F0173_1,97418.82,398326.73,15.85
B49F0446_1,94528.78,397441.18,7.32
B49F1582_1,95317.5,398864.97,4.24
B49F0173_4,97418.82,398326.73,138.69
B49F0232_4,96799.64,396025.55,84.33
B50A0235_2,101427.5,396150.8,40.35
B49F1422_1,96643.35,399913.11,6.23
B50A0235_3,101427.5,396150.8,67.31
B49F0232_5,96799.64,396025.55,120.19
B49F0017_1,97542.74,397189.41,116.77
B50A0235_1,101427.5,396150.8,5.96
B49F0329_1,94277.35,395536.31,5.04
B49F0330_1,97016.66,394819.08,4.5
B49F0232_2,96799.64,396025.55,40.55
B50A0235_4,101427.5,396150.8,116.51
B49F0232_3,96799.64,396025.55,57.95
B49F0232_1,96799.64,396025.55,4.98
